index,temperature(거실)
2021-01-07 12:00:00,21.925
2021-01-07 13:00:00,21.535
2021-01-07 14:00:00,21.774
2021-01-07 15:00:00,21.6
2021-01-07 16:00:00,21.513
2021-01-07 17:00:00,21.048
2021-01-07 18:00:00,21.365
2021-01-07 19:00:00,21.632
2021-01-07 20:00:00,21.909
2021-01-07 21:00:00,21.969
2021-01-07 22:00:00,21.849
2021-01-07 23:00:00,21.998
2021-01-08 00:00:00,22.124
2021-01-08 01:00:00,22.25
2021-01-08 02:00:00,21.979
2021-01-08 03:00:00,21.981
2021-01-08 04:00:00,22.066
2021-01-08 05:00:00,22.163
2021-01-08 06:00:00,22.357
2021-01-08 07:00:00,22.255
2021-01-08 08:00:00,22.422
2021-01-08 09:00:00,21.193
2021-01-08 10:00:00,19.055
2021-01-08 11:00:00,19.835
2021-01-08 12:00:00,19.763
2021-01-08 13:00:00,19.448
2021-01-08 14:00:00,19.303
2021-01-08 15:00:00,19.093
2021-01-08 16:00:00,19.216
2021-01-08 17:00:00,19.25
2021-01-08 18:00:00,19.699
2021-01-08 19:00:00,20.076
2021-01-08 20:00:00,20.259
2021-01-08 21:00:00,20.388
2021-01-08 22:00:00,20.426
2021-01-08 23:00:00,20.594
2021-01-09 00:00:00,20.6
2021-01-09 01:00:00,20.766
2021-01-09 02:00:00,20.799
2021-01-09 03:00:00,20.901
2021-01-09 04:00:00,21.058
2021-01-09 05:00:00,21.025
2021-01-09 06:00:00,21.196
2021-01-09 07:00:00,21.118
2021-01-09 08:00:00,21.677
2021-01-09 09:00:00,21.747
2021-01-09 10:00:00,21.643
2021-01-09 11:00:00,21.666
2021-01-09 12:00:00,21.254
2021-01-09 13:00:00,20.862
2021-01-09 14:00:00,20.778
2021-01-09 15:00:00,20.803
2021-01-09 16:00:00,20.732
2021-01-09 17:00:00,20.709
2021-01-09 18:00:00,20.904
2021-01-09 19:00:00,20.966
2021-01-09 20:00:00,21.334
2021-01-09 21:00:00,21.771
2021-01-09 22:00:00,21.931
2021-01-09 23:00:00,22.199
2021-01-10 00:00:00,22.152
2021-01-10 01:00:00,22.251
2021-01-10 02:00:00,22.452
2021-01-10 03:00:00,22.528
2021-01-10 04:00:00,22.6
2021-01-10 05:00:00,22.61
2021-01-10 06:00:00,22.759
2021-01-10 07:00:00,22.732
2021-01-10 08:00:00,22.993
2021-01-10 09:00:00,22.725
2021-01-10 10:00:00,21.902
2021-01-10 11:00:00,21.951
2021-01-10 12:00:00,21.897
2021-01-10 13:00:00,20.842
2021-01-10 14:00:00,21.114
2021-01-10 15:00:00,21.326
2021-01-10 16:00:00,21.405
2021-01-10 17:00:00,21.5
2021-01-10 18:00:00,21.419
2021-01-10 19:00:00,21.55
2021-01-10 20:00:00,21.785
2021-01-10 21:00:00,21.79
2021-01-10 22:00:00,21.872
2021-01-10 23:00:00,21.914
2021-01-11 00:00:00,22.053
2021-01-11 01:00:00,22.276
2021-01-11 02:00:00,22.362
2021-01-11 03:00:00,22.606
2021-01-11 04:00:00,22.689
2021-01-11 05:00:00,22.468
2021-01-11 06:00:00,22.592
2021-01-11 07:00:00,22.679
2021-01-11 08:00:00,22.651
2021-01-11 09:00:00,22.411
2021-01-11 10:00:00,22.123
2021-01-11 11:00:00,20.965
2021-01-11 12:00:00,20.995
2021-01-11 13:00:00,20.064
2021-01-11 14:00:00,19.239
2021-01-11 15:00:00,19.978
2021-01-11 16:00:00,20.25
2021-01-11 17:00:00,20.5
2021-01-11 18:00:00,20.934
2021-01-11 19:00:00,21.463
2021-01-11 20:00:00,21.753
2021-01-11 21:00:00,22.129
2021-01-11 22:00:00,22.455
2021-01-11 23:00:00,22.499
2021-01-12 00:00:00,22.714
2021-01-12 01:00:00,22.852
2021-01-12 02:00:00,23.06
2021-01-12 03:00:00,23.209
2021-01-12 04:00:00,23.26
2021-01-12 05:00:00,23.468
2021-01-12 06:00:00,23.374
2021-01-12 07:00:00,23.434
2021-01-12 08:00:00,23.258
2021-01-12 09:00:00,22.12
2021-01-12 10:00:00,21.737
2021-01-12 11:00:00,22.033
2021-01-12 12:00:00,20.829
2021-01-12 13:00:00,20.489
2021-01-12 14:00:00,20.756
2021-01-12 15:00:00,21.371
2021-01-12 16:00:00,21.516
2021-01-12 17:00:00,21.365
2021-01-12 18:00:00,21.594
2021-01-12 19:00:00,21.966
2021-01-12 20:00:00,22.016
2021-01-12 21:00:00,22.225
2021-01-12 22:00:00,22.356
2021-01-12 23:00:00,22.491
2021-01-13 00:00:00,22.611
2021-01-13 01:00:00,22.708
2021-01-13 02:00:00,22.9
2021-01-13 03:00:00,22.843
2021-01-13 04:00:00,22.959
2021-01-13 05:00:00,23.0
2021-01-13 06:00:00,23.09
2021-01-13 07:00:00,23.277
2021-01-13 08:00:00,23.412
2021-01-13 09:00:00,23.379
2021-01-13 10:00:00,23.226
2021-01-13 11:00:00,22.08
2021-01-13 12:00:00,21.175
2021-01-13 13:00:00,22.181
2021-01-13 14:00:00,22.813
2021-01-13 15:00:00,22.97
2021-01-13 16:00:00,22.838
